forecast_date,version,scenario_id,date,planning_shop_cluster,shipping_wh,sales_forecast_items
2024-06-04,1,0,2024-05-27,AT,1,2277
2024-06-04,1,0,2024-05-27,AT,2,0
2024-06-04,1,0,2024-05-27,AT,4,0
2024-06-04,1,0,2024-05-27,AT,3,0
2024-06-04,1,0,2024-05-28,AT,3,0
2024-06-04,1,0,2024-05-28,AT,4,0
2024-06-04,1,0,2024-05-28,AT,1,2459
2024-06-04,1,0,2024-05-28,AT,2,0
2024-06-04,1,0,2024-05-29,AT,1,3056
2024-06-04,1,0,2024-05-29,AT,4,0
2024-06-04,1,0,2024-05-29,AT,2,0
2024-06-04,1,0,2024-05-29,AT,3,0
2024-06-04,1,0,2024-05-30,AT,4,0
2024-06-04,1,0,2024-05-30,AT,2,0
2024-06-04,1,0,2024-05-30,AT,1,3603
2024-06-04,1,0,2024-05-30,AT,3,0
2024-06-04,1,0,2024-05-31,AT,3,0
2024-06-04,1,0,2024-05-31,AT,4,0
2024-06-04,1,0,2024-05-31,AT,2,0
2024-06-04,1,0,2024-05-31,AT,1,3154
2024-06-04,1,0,2024-06-01,AT,1,3167
2024-06-04,1,0,2024-06-01,AT,4,0
2024-06-04,1,0,2024-06-01,AT,2,0
2024-06-04,1,0,2024-06-01,AT,3,0
2024-06-04,1,0,2024-06-02,AT,1,3978
2024-06-04,1,0,2024-06-02,AT,3,0
2024-06-04,1,0,2024-06-02,AT,2,0
2024-06-04,1,0,2024-06-02,AT,4,0
2024-06-04,1,0,2024-06-03,AT,4,0
2024-06-04,1,0,2024-06-03,AT,2,0
2024-06-04,1,0,2024-06-03,AT,1,2633
2024-06-04,1,0,2024-06-03,AT,3,0
2024-06-04,1,0,2024-06-04,AT,4,0
2024-06-04,1,0,2024-06-04,AT,2,0
2024-06-04,1,0,2024-06-04,AT,1,2817
2024-06-04,1,0,2024-06-04,AT,3,0
2024-06-04,1,0,2024-06-05,AT,4,0
2024-06-04,1,0,2024-06-05,AT,3,0
2024-06-04,1,0,2024-06-05,AT,2,0
2024-06-04,1,0,2024-06-05,AT,1,3091
2024-06-04,1,0,2024-06-06,AT,4,0
2024-06-04,1,0,2024-06-06,AT,2,0
2024-06-04,1,0,2024-06-06,AT,3,0
2024-06-04,1,0,2024-06-06,AT,1,4053
2024-06-04,1,0,2024-06-07,AT,3,0
2024-06-04,1,0,2024-06-07,AT,4,0
2024-06-04,1,0,2024-06-07,AT,2,0
2024-06-04,1,0,2024-06-07,AT,1,4085
2024-06-04,1,0,2024-06-08,AT,4,0
2024-06-04,1,0,2024-06-08,AT,2,0
2024-06-04,1,0,2024-06-08,AT,1,4787
2024-06-04,1,0,2024-06-08,AT,3,0
2024-06-04,1,0,2024-06-09,AT,4,0
2024-06-04,1,0,2024-06-09,AT,2,0
2024-06-04,1,0,2024-06-09,AT,1,5963
2024-06-04,1,0,2024-06-09,AT,3,0
2024-06-04,1,0,2024-06-10,AT,4,0
2024-06-04,1,0,2024-06-10,AT,3,0
2024-06-04,1,0,2024-06-10,AT,1,2511
2024-06-04,1,0,2024-06-10,AT,2,0
2024-06-04,1,0,2024-06-11,AT,3,0
2024-06-04,1,0,2024-06-11,AT,2,0
2024-06-04,1,0,2024-06-11,AT,1,2993
2024-06-04,1,0,2024-06-11,AT,4,0
2024-06-04,1,0,2024-06-12,AT,3,0
2024-06-04,1,0,2024-06-12,AT,2,0
2024-06-04,1,0,2024-06-12,AT,4,0
2024-06-04,1,0,2024-06-12,AT,1,4012
2024-06-04,1,0,2024-06-13,AT,4,0
2024-06-04,1,0,2024-06-13,AT,2,0
2024-06-04,1,0,2024-06-13,AT,3,0
2024-06-04,1,0,2024-06-13,AT,1,3170
2024-06-04,1,0,2024-06-14,AT,4,0
2024-06-04,1,0,2024-06-14,AT,2,0
2024-06-04,1,0,2024-06-14,AT,3,0
2024-06-04,1,0,2024-06-14,AT,1,4546
2024-06-04,1,0,2024-06-15,AT,1,2839
2024-06-04,1,0,2024-06-15,AT,4,0
2024-06-04,1,0,2024-06-15,AT,3,0
2024-06-04,1,0,2024-06-15,AT,2,0
2024-06-04,1,0,2024-06-16,AT,3,0
2024-06-04,1,0,2024-06-16,AT,4,0
2024-06-04,1,0,2024-06-16,AT,2,0
2024-06-04,1,0,2024-06-16,AT,1,3838
2024-06-04,1,0,2024-06-17,AT,1,2720
2024-06-04,1,0,2024-06-17,AT,3,0
2024-06-04,1,0,2024-06-17,AT,2,0
2024-06-04,1,0,2024-06-17,AT,4,0
2024-06-04,1,0,2024-06-18,AT,3,0
2024-06-04,1,0,2024-06-18,AT,1,2925
2024-06-04,1,0,2024-06-18,AT,2,0
2024-06-04,1,0,2024-06-18,AT,4,0
2024-06-04,1,0,2024-06-19,AT,3,0
2024-06-04,1,0,2024-06-19,AT,1,2951
2024-06-04,1,0,2024-06-19,AT,4,0
2024-06-04,1,0,2024-06-19,AT,2,0
2024-06-04,1,0,2024-06-20,AT,4,0
2024-06-04,1,0,2024-06-20,AT,3,0
2024-06-04,1,0,2024-06-20,AT,1,3176
2024-06-04,1,0,2024-06-20,AT,2,0
2024-06-04,1,0,2024-06-21,AT,4,0
2024-06-04,1,0,2024-06-21,AT,2,0
2024-06-04,1,0,2024-06-21,AT,1,2481
2024-06-04,1,0,2024-06-21,AT,3,0
2024-06-04,1,0,2024-06-22,AT,1,2740
2024-06-04,1,0,2024-06-22,AT,3,0
2024-06-04,1,0,2024-06-22,AT,2,0
2024-06-04,1,0,2024-06-22,AT,4,0
2024-06-04,1,0,2024-06-23,AT,3,0
2024-06-04,1,0,2024-06-23,AT,2,0
2024-06-04,1,0,2024-06-23,AT,4,0
2024-06-04,1,0,2024-06-23,AT,1,3337
2024-06-04,1,0,2024-06-24,AT,3,0
2024-06-04,1,0,2024-06-24,AT,2,0
2024-06-04,1,0,2024-06-24,AT,4,0
2024-06-04,1,0,2024-06-24,AT,1,2759
2024-06-04,1,0,2024-06-25,AT,3,0
2024-06-04,1,0,2024-06-25,AT,4,0
2024-06-04,1,0,2024-06-25,AT,1,2967
2024-06-04,1,0,2024-06-25,AT,2,0
2024-06-04,1,0,2024-06-26,AT,2,0
