date,shipping_wh,country_code,items_per_cross_docking_cd_item
2023-03-01,1,AT,3.17
2023-03-01,2,AT,3.17
2023-03-01,3,AT,3.17
2023-03-01,4,AT,3.17
2023-03-01,1,BE,2.78
2023-03-01,2,BE,2.78
2023-03-01,3,BE,2.78
2023-03-01,4,BE,2.78
2023-03-01,1,BG,2.15
2023-03-01,2,BG,2.15
2023-03-01,3,BG,2.15
2023-03-01,4,BG,2.15
2023-03-01,1,CH,2.59
2023-03-01,2,CH,2.59
2023-03-01,3,CH,2.59
2023-03-01,4,CH,2.59
2023-03-01,1,CY,1.2
2023-03-01,2,CY,1.2
2023-03-01,3,CY,1.2
2023-03-01,4,CY,1.2
2023-03-01,1,CZ,2.48
2023-03-01,2,CZ,2.48
2023-03-01,3,CZ,2.48
2023-03-01,4,CZ,2.48
2023-03-01,1,DE,1.92
2023-03-01,2,DE,1.92
2023-03-01,3,DE,1.92
2023-03-01,4,DE,1.92
2023-03-01,1,DK,2.63
2023-03-01,2,DK,2.63
2023-03-01,3,DK,2.63
2023-03-01,4,DK,2.63
2023-03-01,1,EE,1.9
2023-03-01,2,EE,1.9
2023-03-01,3,EE,1.9
2023-03-01,4,EE,1.9
2023-03-01,1,ES,2.27
2023-03-01,2,ES,2.27
2023-03-01,3,ES,2.27
2023-03-01,4,ES,2.27
2023-03-01,1,FI,3.02
2023-03-01,2,FI,3.02
2023-03-01,3,FI,3.02
2023-03-01,4,FI,3.02
2023-03-01,1,FR,2.35
2023-03-01,2,FR,2.35
2023-03-01,3,FR,2.35
2023-03-01,4,FR,2.35
2023-03-01,1,GR,2.19
2023-03-01,2,GR,2.19
2023-03-01,3,GR,2.19
2023-03-01,4,GR,2.19
2023-03-01,1,HR,2.17
2023-03-01,2,HR,2.17
2023-03-01,3,HR,2.17
2023-03-01,4,HR,2.17
2023-03-01,1,HU,2.35
2023-03-01,2,HU,2.35
2023-03-01,3,HU,2.35
2023-03-01,4,HU,2.35
2023-03-01,1,IE,1.67
2023-03-01,2,IE,1.67
2023-03-01,3,IE,1.67
2023-03-01,4,IE,1.67
2023-03-01,1,IL,1.2
2023-03-01,2,IL,1.2
2023-03-01,3,IL,1.2
2023-03-01,4,IL,1.2
2023-03-01,1,IT,1.2
2023-03-01,2,IT,1.2
2023-03-01,3,IT,1.2
2023-03-01,4,IT,1.2
2023-03-01,1,LT,1.9
2023-03-01,2,LT,1.9
2023-03-01,3,LT,1.9
2023-03-01,4,LT,1.9
2023-03-01,1,LU,1.2
2023-03-01,2,LU,1.2
2023-03-01,3,LU,1.2
2023-03-01,4,LU,1.2
2023-03-01,1,LV,1.9
2023-03-01,2,LV,1.9
2023-03-01,3,LV,1.9
2023-03-01,4,LV,1.9
2023-03-01,1,NL,2.79
2023-03-01,2,NL,2.79
2023-03-01,3,NL,2.79
2023-03-01,4,NL,2.79
2023-03-01,1,NO,1.5
2023-03-01,2,NO,1.5
2023-03-01,3,NO,1.5
2023-03-01,4,NO,1.5
2023-03-01,1,PL,1.99
2023-03-01,2,PL,1.99
2023-03-01,3,PL,1.99
2023-03-01,4,PL,1.99
2023-03-01,1,PT,2.1
2023-03-01,2,PT,2.1
2023-03-01,3,PT,2.1
2023-03-01,4,PT,2.1
2023-03-01,1,RO,2.24
2023-03-01,2,RO,2.24
2023-03-01,3,RO,2.24
2023-03-01,4,RO,2.24
2023-03-01,1,SA,1.2
2023-03-01,2,SA,1.2
2023-03-01,3,SA,1.2
2023-03-01,4,SA,1.2
2023-03-01,1,SE,2.51
2023-03-01,2,SE,2.51
2023-03-01,3,SE,2.51
2023-03-01,4,SE,2.51
2023-03-01,1,SI,2.86
2023-03-01,2,SI,2.86
2023-03-01,3,SI,2.86
2023-03-01,4,SI,2.86
2023-03-01,1,SK,2.34
2023-03-01,2,SK,2.34
2023-03-01,3,SK,2.34
2023-03-01,4,SK,2.34
2023-03-01,1,ZZ,1.2
